?x	?xl
<http://purl.obolibrary.org/obo/ENVO_00002005>	"air"
<http://purl.obolibrary.org/obo/ENVO_00002149>	"sea water"
<http://purl.obolibrary.org/obo/ENVO_3200056>	"concentration of tin in snow"
<http://purl.obolibrary.org/obo/ENVO_02000038>	"pus material"
<http://purl.obolibrary.org/obo/ENVO_01000458>	"concrete"
<http://purl.obolibrary.org/obo/ENVO_00010623>	"dolomite"
<http://purl.obolibrary.org/obo/ENVO_01001426>	"cirrocumulus castellanus cloud"@en
<http://purl.obolibrary.org/obo/ENVO_01001124>	"giant gas planet"@en
<http://purl.obolibrary.org/obo/ENVO_00002985>	"oil"
<http://purl.obolibrary.org/obo/ENVO_01001377>	"sea surface height"@en
<http://purl.obolibrary.org/obo/ENVO_00003908>	"poultry deep litter"
<http://purl.obolibrary.org/obo/ENVO_01001704>	"subpolar environment"@en
<http://purl.obolibrary.org/obo/ENVO_00002212>	"thermophilic granular sludge"
<http://purl.obolibrary.org/obo/ENVO_00009725>	"ice piedmont"
<http://purl.obolibrary.org/obo/ENVO_01000806>	"nebula"@en
<http://purl.obolibrary.org/obo/ENVO_3100011>	"concentration of dioxygen in liquid water"
<http://purl.obolibrary.org/obo/ENVO_00005793>	"muddy water"
<http://purl.obolibrary.org/obo/ENVO_02000126>	"wood ash"@en
<http://purl.obolibrary.org/obo/ENVO_00002253>	"umbrisol"
<http://purl.obolibrary.org/obo/ENVO_01001651>	"particulate matter in a hydrosphere"@en
<http://purl.obolibrary.org/obo/ENVO_01000370>	"tundra climatic condition"
<http://purl.obolibrary.org/obo/ENVO_02000032>	"vitreous humor material"
<http://purl.obolibrary.org/obo/ENVO_00005748>	"dry soil"
<http://purl.obolibrary.org/obo/ENVO_09000016>	"concentration of nitrogen atom in environmental material"
<http://purl.obolibrary.org/obo/ENVO_04000006>	"concentration of carbon dioxide in seawater"@en
<http://purl.obolibrary.org/obo/ENVO_00002040>	"wood"
<http://purl.obolibrary.org/obo/ENVO_01000008>	"microbial mat"
<http://purl.obolibrary.org/obo/ENVO_01001395>	"necromass"@en
<http://purl.obolibrary.org/obo/ENVO_00000003>	"mine tailing"
<http://purl.obolibrary.org/obo/ENVO_01001405>	"laboratory environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000799>	"astronomical body"@en
<http://purl.obolibrary.org/obo/ENVO_3200006>	"concentration of europium in lake water"
<http://purl.obolibrary.org/obo/ENVO_01000303>	"endolithic environment"
