?x	?xl
<http://purl.obolibrary.org/obo/FBbt_00110875>	"peripheral cell"
<http://purl.obolibrary.org/obo/FBbt_00004057>	"ventral prothoracic nerve"
<http://purl.obolibrary.org/obo/FBbt_00007027>	"cuboidal/columnar epithelium"
<http://purl.obolibrary.org/obo/FBbt_00046022>	"presumptive trochanter"
<http://purl.obolibrary.org/obo/FBbt_00111030>	"larval prothoracic neuromere"
<http://purl.obolibrary.org/obo/FBbt_00001863>	"hypopharyngeal lobe"
<http://purl.obolibrary.org/obo/FBbt_00110359>	"neuroblast LHa4"
<http://purl.obolibrary.org/obo/FBbt_00004600>	"mesothoracic suture"
<http://purl.obolibrary.org/obo/FBbt_00000521>	"mesothoracic acute muscle"
<http://purl.obolibrary.org/obo/FBbt_00000474>	"acute muscle"
<http://purl.obolibrary.org/obo/FBbt_00100626>	"neuroblast BLP2"
<http://purl.obolibrary.org/obo/FBbt_00110001>	"mushroom body alpha' lobe slice"
<http://purl.obolibrary.org/obo/FBbt_00005424>	"hindgut anlage in statu nascendi"
<http://purl.obolibrary.org/obo/FBbt_00001811>	"posterior dorsal histoblast nest abdominal 2"
<http://purl.obolibrary.org/obo/FBbt_00003668>	"protocerebral bridge"
<http://purl.obolibrary.org/obo/FBbt_00111742>	"adult midline"
<http://purl.obolibrary.org/obo/FBbt_00110791>	"presumptive metathoracic trochanter sensillum trichodeum St1"
<http://purl.obolibrary.org/obo/FBbt_00007090>	"perineurium"
<http://purl.obolibrary.org/obo/FBbt_00050092>	"neuroblast PSp3"
<http://purl.obolibrary.org/obo/FBbt_00001706>	"embryonic/larval fat body region 2'"
<http://purl.obolibrary.org/obo/FBbt_00048387>	"median gonocoxite"
<http://purl.obolibrary.org/obo/FBbt_00005207>	"denticle row 6"
<http://purl.obolibrary.org/obo/FBbt_00012993>	"pupal ventral branch 0"
<http://purl.obolibrary.org/obo/FBbt_00004098>	"gustatory center of genitalia"
<http://purl.obolibrary.org/obo/FBbt_00007068>	"embryonic/larval ventrolateral protocerebrum"
<http://purl.obolibrary.org/obo/FBbt_00050036>	"adult ALv2 lineage clone"
<http://purl.obolibrary.org/obo/FBbt_00005353>	"stage P6 pupa"
<http://purl.obolibrary.org/obo/FBbt_00015562>	"ventral neurectoderm intermediate zone 1"
<http://purl.obolibrary.org/obo/FBbt_00100549>	"neuroblast DALcm2"
<http://purl.obolibrary.org/obo/FBbt_00002989>	"pupal ganglionic branch 0"
<http://purl.obolibrary.org/obo/FBbt_00000897>	"abdominal 6 transverse muscle"
<http://purl.obolibrary.org/obo/FBbt_00050201>	"neuroblast SMPad2"
<http://purl.obolibrary.org/obo/FBbt_00007590>	"abdominal 8 ventral acute muscle 1"
<http://purl.obolibrary.org/obo/FBbt_00005512>	"salivary gland body primordium"
<http://purl.obolibrary.org/obo/FBbt_00001013>	"embryonic/larval abdominal 5 intersegmental apodeme"
<http://purl.obolibrary.org/obo/FBbt_00000280>	"dorsal anastomosis 5"
<http://purl.obolibrary.org/obo/FBbt_00100393>	"terminal organ ganglion"
<http://purl.obolibrary.org/obo/FBbt_00110806>	"presumptive metathoracic tarsal segment 3"
<http://purl.obolibrary.org/obo/FBbt_00100755>	"abdominal 4 neuroblast NB5-3"
<http://purl.obolibrary.org/obo/FBbt_00040046>	"posterior superior lateral protocerebrum"
<http://purl.obolibrary.org/obo/FBbt_00003921>	"optic chiasma"
<http://purl.obolibrary.org/obo/FBbt_00007140>	"female fusome"
<http://purl.obolibrary.org/obo/FBbt_00110752>	"presumptive prothoracic femoral sensillum campaniformium Sc1"
<http://purl.obolibrary.org/obo/FBbt_00000169>	"embryonic mesothoracic segment"
<http://purl.obolibrary.org/obo/FBbt_00111566>	"haltere anterior compartment"
